0__sum_values,0__median,0__mean,0__length,0__standard_deviation,0__variance,0__root_mean_square,0__maximum,0__absolute_maximum,0__minimum
6.39059180962075,8.085194278127376e-05,9.78606160455224e-05,65303.0,8.217680883125574e-05,6.7530279096887516e-09,0.00012778782446891374,0.0007398357344629867,0.0007398357344629867,1.3652405812543991e-08
2.43871772810063,1.738417210439447e-05,3.734465075265501e-05,65303.0,4.7010327489260786e-05,2.209970890647548e-09,6.003826971595138e-05,0.0004396452780686702,0.0004396452780686702,3.257971939116889e-17
7.116840232271604,5.8298153383778724e-05,0.00010903692710696497,65270.0,0.00013943834243366167,1.9443051340647095e-08,0.00017700876479309348,0.0010862196308963111,0.0010862196308963111,4.609688612443164e-21
2.930059216762753,2.2962697235881947e-05,4.4898241139484414e-05,65260.0,5.449170869354411e-05,2.969346316342071e-09,7.060593724157595e-05,0.0005079284392137123,0.0005079284392137123,8.824979312119418e-16
2.8912972902324467,1.8481825266177337e-05,4.426968336470804e-05,65311.0,6.176331436551714e-05,3.814707001413696e-09,7.599020901817025e-05,0.0007700561397782471,0.0007700561397782471,3.432034212873379e-16
1.9001,5.4170428511663315e-06,2.909934606490344e-05,65297.0,4.702586423839147e-05,2.2114319073676256e-09,5.530102936449409e-05,0.0004921782528824859,0.0004921782528824859,5.949562946240418e-25
1.2848324167950669,1.4229159001484572e-06,1.9700277784005685e-05,65219.0,3.615428633885023e-05,1.3071324206715723e-09,4.1173211745485194e-05,0.00035898872008693797,0.00035898872008693797,7.158778210933798e-31
1.3215158444585264,8.628074337063711e-07,2.041676339794099e-05,64727.0,4.299161323984459e-05,1.8482788089643807e-09,4.759330873780351e-05,0.0006948737810388252,0.0006948737810388252,8.837780543095353e-43
2.5425999999999993,9.93438982971842e-06,3.894138728500757e-05,65293.0,6.053303347309907e-05,3.664248141455332e-09,7.197693925929528e-05,0.0007395219610396728,0.0007395219610396728,3.943672711340348e-21
2.462791999990331,9.548966659147023e-06,3.7800712180598156e-05,65152.0,5.85925801692916e-05,3.4330904508948633e-09,6.972793050317271e-05,0.0007703539801149364,0.0007703539801149364,8.295076222248046e-29
6.975795354627476,8.17454498179517e-05,0.00010677782572520244,65330.0,9.939155199390359e-05,9.87868060775684e-09,0.00014587729321028186,0.0007533192307582243,0.0007533192307582243,2.926896273134161e-09
4.388049719185394,4.703989155010922e-05,6.71705377437414e-05,65327.0,6.936016715657538e-05,4.810832787988077e-09,9.655420202545027e-05,0.0006462820356223668,0.0006462820356223668,9.459760359844194e-13
1.7400999683820209,5.4043497847835066e-06,2.677406401375586e-05,64992.0,4.551640061370612e-05,2.0717427248273866e-09,5.2807132365241e-05,0.0007962491418229911,0.0007962491418229911,1.404503817313757e-22
0.5077749074647666,9.619865700341844e-14,7.82106628465231e-06,64924.0,2.3127720284461108e-05,5.348914455562738e-10,2.441435076722703e-05,0.0003726273790930539,0.0003726273790930539,8.100930111619066e-183
6.347596320581144,4.527080443316239e-05,8.365198561670437e-05,75881.0,0.00011173320193628624,1.2484308414934918e-08,0.00013957780307968825,0.001003302908723977,0.001003302908723977,6.754998420457819e-19
4.661348260375948,2.1305148491420176e-05,6.143619285353087e-05,75873.0,8.386618963576694e-05,7.033537764022423e-09,0.00010396125988250942,0.0007180182496428739,0.0007180182496428739,1.6680283760673404e-53
4.290728501528245,4.682481021833052e-06,5.6653003175835396e-05,75737.0,0.00010553993456184932,1.1138677787319437e-08,0.0001197841415052955,0.0008933032254652269,0.0008933032254652269,1.0590107897394189e-44
0.20634982460447554,1.1884325441333814e-22,2.726069418118443e-06,75695.0,1.2562961226424555e-05,1.5782799477664676e-10,1.2855327660120041e-05,0.00019209081981570156,0.00019209081981570156,2.5e-323
2.8715073417849997,4.572457393828241e-06,3.8743420338186084e-05,74116.0,7.289686005098773e-05,5.313952205293291e-09,8.255304249265839e-05,0.0008872594293304477,0.0008872594293304477,8.293449448965122e-42
6.701349785787871,3.1119283051109235e-05,8.840947487154013e-05,75799.0,0.00012103285240109304,1.4648951360344773e-08,0.0001498839104353975,0.000871876547166618,0.000871876547166618,3.184640126047752e-90
6.3546663347075,5.069827445489911e-05,8.383575422772728e-05,75799.0,0.00010283796473291877,1.0575646990409046e-08,0.00013268037035425,0.0009493314859881217,0.0009493314859881217,4.151041983747634e-22
0.02385,2.5e-323,3.206895160748141e-07,74371.0,6.37068064476093e-06,4.058557187753154e-11,6.378747027689047e-06,0.0004069581839004978,0.0004069581839004978,2.5e-323
9.90597733972483,9.061337016755356e-05,0.00013076679919903937,75753.0,0.000142771739125771,2.038376949299721e-08,0.00019360714156703803,0.0011873200873360457,0.0011873200873360457,1.0773272672533904e-20
5.871298117501476,2.6220312854569375e-05,7.770584342493813e-05,75558.0,0.00013082249724355864,1.7114525785040908e-08,0.0001521601915332059,0.0011833182150965869,0.0011833182150965869,1.1098322380271174e-31
7.084276148095943,2.2398349873805015e-05,9.41482091818295e-05,75246.0,0.00017326180782527872,3.001965405088381e-08,0.00019718909539583914,0.0011711697077917817,0.0011711697077917817,6.932190833893469e-32
6.470526146247584,3.915227104969712e-05,8.71674387553392e-05,74231.0,0.0001214094140277934,1.4740245814572159e-08,0.00014946039004946419,0.0010406284886319145,0.0010406284886319145,1.1272578437899786e-73
4.461069269477765,1.2550149932387178e-05,5.886480529758877e-05,75785.0,0.0001097599021036942,1.2047236109812535e-08,0.00012454838984320743,0.0010442259394493171,0.0010442259394493171,8.891951357958399e-71
1.4251,1.1964419436094742e-14,2.4431262964804307e-05,58331.0,7.999800871812911e-05,6.399681398865861e-09,8.364549006922776e-05,0.0008953448212359289,0.0008953448212359289,2.5e-323
6.8433398927326285,5.0326449294182194e-05,9.049882161301051e-05,75618.0,0.00011192043453259723,1.252618366596538e-08,0.0001439313043757642,0.0009954248837609164,0.0009954248837609164,3.1509748835092824e-28
0.4625999999999802,1.947723979124354e-17,6.1516775489033126e-06,75199.0,2.316984702041748e-05,5.368418109495488e-10,2.3972587420118627e-05,0.00041172476196214776,0.00041172476196214776,1.4948618715855384e-285
4.53884475976,3.409593159531088e-05,5.981057045027475e-05,75887.0,7.192068956082045e-05,5.172585586903907e-09,9.354084628915428e-05,0.0007267089797359914,0.0007267089797359914,1.3254400064730134e-15
